"Stay tunned : Get social connected !","Connectons nous par réseau social !"
"Close the social ask.","Fermer la popin réseaux sociaux"
"Timing Options","Options de temps"
"Minimum time before appear (in seconds)","Délai minimum avant 1ère apparition (en secondes)"
"Delay before next appaear (in days)","Délai avant prochaine apparition (en jours)"
"Content Management","Gestion du contenu"
"Is content dynamic","Le contenu est il dynamique?"
"Choose cms block to display","Choisir le block CMS à afficher"
"It is strongly recommended to setup it at "storeview level"","Il est fortement recommandé de le paramètrer au "niveau storeview""
"Activate Facebook","Activer Facebook"
"Facebook Content","Contenu Facebook"
"Activate Google","Activer Google"
"Google Content","Contenu Google"
"Activate Twitter","Activer Twitter"
"Twitter Content","Contenu Twitter"
